PRCP       046037 18920101 20111231 TIBOOBURRA POST OFFICE                      
19630101 19630131    23.1
19630201 19630228    11.7
19630301 19630331    12.9
19630401 19630430     2.3
19630501 19630531     8.2
19630601 19630630    16.8
19630701 19630731     1.0
19630801 19630831    31.3
19630901 19630930     0.0
19631001 19631031     0.5
19631101 19631130     3.0
19631201 19631231     0.0
19640101 19640131    13.2
19640201 19640229     3.6
19640301 19640331     0.0
19640401 19640430    12.8
19640501 19640531     2.5
19640601 19640630     1.3
19640701 19640731    10.2
19640801 19640831     5.6
19640901 19640930    36.1
19641001 19641031     8.4
19641101 19641130     0.0
19641201 19641231     1.5
19650101 19650131    25.9
19650201 19650228     1.0
19650301 19650331     0.0
19650401 19650430     0.0
19650501 19650531    15.5
19650601 19650630     7.2
19650701 19650731     0.0
19650801 19650831    14.5
19650901 19650930     0.3
19651001 19651031     6.3
19651101 19651130     0.0
19651201 19651231    11.1
19660101 19660131    13.8
19660201 19660228    16.5
19660301 19660331     2.1
19660401 19660430     1.0
19660501 19660531     4.8
19660601 19660630     0.8
19660701 19660731     4.8
19660801 19660831     7.3
19660901 19660930     6.6
19661001 19661031    12.6
19661101 19661130    27.6
19661201 19661231    25.9
19670101 19670131     0.0
19670201 19670228     6.1
19670301 19670331    75.1
19670401 19670430     0.0
19670501 19670531     6.1
19670601 19670630    61.8
19670701 19670731     0.0
19670801 19670831     1.0
19670901 19670930     0.0
19671001 19671031     2.3
19671101 19671130     4.1
19671201 19671231     8.7
19680101 19680131    74.8
19680201 19680229     0.0
19680301 19680331     8.4
19680401 19680430    37.8
19680501 19680531    42.4
19680601 19680630     4.9
19680701 19680731    33.6
19680801 19680831    20.8
19680901 19680930     6.6
19681001 19681031     1.8
19681101 19681130    27.5
19681201 19681231    44.9
19690101 19690131     0.0
19690201 19690228    25.2
19690301 19690331    42.5
19690401 19690430     0.0
19690501 19690531     2.6
19690601 19690630     3.3
19690701 19690731     4.4
19690801 19690831     0.5
19690901 19690930    17.8
19691001 19691031     4.6
19691101 19691130     0.0
19691201 19691231     2.0
19700101 19700131     4.6
19700201 19700228     2.5
19700301 19700331     0.0
19700401 19700430    33.0
19700501 19700531     1.0
19700601 19700630     1.0
19700701 19700731     0.0
